text,label,Target Label
i love this product absolutely amazing works perfectly,Positive,1
this worst item i have ever bought broke day one,Negative,0
great quality fast shipping highly recommend this seller,Positive,1
terrible customer service product defective,Negative,0
i am so happy with this purchase five stars,Positive,1
do not buy this waste of money time,Negative,0
i love this product absolutely amazing works perfectly,Positive,1
this worst item i have ever bought broke day one,Negative,0
great quality fast shipping highly recommend this seller,Positive,1
terrible customer service product defective,Negative,0
i am so happy with this purchase five stars,Positive,1
do not buy this waste of money time,Negative,0
i love this product absolutely amazing works perfectly,Positive,1
this worst item i have ever bought broke day one,Negative,0
great quality fast shipping highly recommend this seller,Positive,1
terrible customer service product defective,Negative,0
i am so happy with this purchase five stars,Positive,1
do not buy this waste of money time,Negative,0
i love this product absolutely amazing works perfectly,Positive,1
this worst item i have ever bought broke day one,Negative,0
great quality fast shipping highly recommend this seller,Positive,1
terrible customer service product defective,Negative,0
i am so happy with this purchase five stars,Positive,1
do not buy this waste of money time,Negative,0
i love this product absolutely amazing works perfectly,Positive,1
this worst item i have ever bought broke day one,Negative,0
great quality fast shipping highly recommend this seller,Positive,1
terrible customer service product defective,Negative,0
i am so happy with this purchase five stars,Positive,1
do not buy this waste of money time,Negative,0
i love this product absolutely amazing works perfectly,Positive,1
this worst item i have ever bought broke day one,Negative,0
great quality fast shipping highly recommend this seller,Positive,1
terrible customer service product defective,Negative,0
i am so happy with this purchase five stars,Positive,1
do not buy this waste of money time,Negative,0
i love this product absolutely amazing works perfectly,Positive,1
this worst item i have ever bought broke day one,Negative,0
great quality fast shipping highly recommend this seller,Positive,1
terrible customer service product defective,Negative,0
i am so happy with this purchase five stars,Positive,1
do not buy this waste of money time,Negative,0
i love this product absolutely amazing works perfectly,Positive,1
this worst item i have ever bought broke day one,Negative,0
great quality fast shipping highly recommend this seller,Positive,1
terrible customer service product defective,Negative,0
i am so happy with this purchase five stars,Positive,1
do not buy this waste of money time,Negative,0
i love this product absolutely amazing works perfectly,Positive,1
this worst item i have ever bought broke day one,Negative,0
great quality fast shipping highly recommend this seller,Positive,1
terrible customer service product defective,Negative,0
i am so happy with this purchase five stars,Positive,1
do not buy this waste of money time,Negative,0
i love this product absolutely amazing works perfectly,Positive,1
this worst item i have ever bought broke day one,Negative,0
great quality fast shipping highly recommend this seller,Positive,1
terrible customer service product defective,Negative,0
i am so happy with this purchase five stars,Positive,1
do not buy this waste of money time,Negative,0
i love this product absolutely amazing works perfectly,Positive,1
this worst item i have ever bought broke day one,Negative,0
great quality fast shipping highly recommend this seller,Positive,1
terrible customer service product defective,Negative,0
i am so happy with this purchase five stars,Positive,1
do not buy this waste of money time,Negative,0
i love this product absolutely amazing works perfectly,Positive,1
this worst item i have ever bought broke day one,Negative,0
great quality fast shipping highly recommend this seller,Positive,1
terrible customer service product defective,Negative,0
i am so happy with this purchase five stars,Positive,1
